row_id,itemid,sid_0,sid_1,sid_2,sid_3,sid_4,sid_offset_0,sid_offset_1,sid_offset_2,sid_offset_3,sid_offset_4,sid,sid_offset
86,1127184,371,435,145,27,50,371,947,1169,1563,1842,371-435-145-27-50,371-947-1169-1563-1842
87,1128687,388,414,387,112,59,388,926,1411,1648,1851,388-414-387-112-59,388-926-1411-1648-1851
88,1128692,156,157,471,223,60,156,669,1495,1759,1852,156-157-471-223-60,156-669-1495-1759-1852
89,1154069,397,335,164,86,245,397,847,1188,1622,2037,397-335-164-86-245,397-847-1188-1622-2037
90,1159187,301,123,122,235,170,301,635,1146,1771,1962,301-123-122-235-170,301-635-1146-1771-1962
91,1171828,417,385,289,66,166,417,897,1313,1602,1958,417-385-289-66-166,417-897-1313-1602-1958
92,1184761,73,422,392,243,76,73,934,1416,1779,1868,73-422-392-243-76,73-934-1416-1779-1868
93,1190354,122,17,409,1,26,122,529,1433,1537,1818,122-17-409-1-26,122-529-1433-1537-1818
94,1190378,122,17,234,13,142,122,529,1258,1549,1934,122-17-234-13-142,122-529-1258-1549-1934
95,1306972,397,343,208,82,172,397,855,1232,1618,1964,397-343-208-82-172,397-855-1232-1618-1964
96,1316512,15,89,61,79,217,15,601,1085,1615,2009,15-89-61-79-217,15-601-1085-1615-2009
97,1316525,408,305,427,39,27,408,817,1451,1575,1819,408-305-427-39-27,408-817-1451-1575-1819
98,1316532,408,74,328,240,102,408,586,1352,1776,1894,408-74-328-240-102,408-586-1352-1776-1894
99,1356434,166,168,379,243,254,166,680,1403,1779,2046,166-168-379-243-254,166-680-1403-1779-2046
100,1361902,314,148,438,204,125,314,660,1462,1740,1917,314-148-438-204-125,314-660-1462-1740-1917
101,1378244,142,363,187,70,183,142,875,1211,1606,1975,142-363-187-70-183,142-875-1211-1606-1975
102,1378303,142,495,385,163,76,142,1007,1409,1699,1868,142-495-385-163-76,142-1007-1409-1699-1868
103,1378581,142,363,77,38,151,142,875,1101,1574,1943,142-363-77-38-151,142-875-1101-1574-1943
104,1379008,491,2,328,68,81,491,514,1352,1604,1873,491-2-328-68-81,491-514-1352-1604-1873
105,1408327,73,422,224,83,87,73,934,1248,1619,1879,73-422-224-83-87,73-934-1248-1619-1879
106,1408397,73,422,170,121,222,73,934,1194,1657,2014,73-422-170-121-222,73-934-1194-1657-2014
107,1428329,242,432,77,204,204,242,944,1101,1740,1996,242-432-77-204-204,242-944-1101-1740-1996
108,1454022,254,140,37,5,191,254,652,1061,1541,1983,254-140-37-5-191,254-652-1061-1541-1983
109,1454574,275,34,223,154,43,275,546,1247,1690,1835,275-34-223-154-43,275-546-1247-1690-1835
110,1454610,443,485,179,63,45,443,997,1203,1599,1837,443-485-179-63-45,443-997-1203-1599-1837
111,1457625,269,111,220,110,28,269,623,1244,1646,1820,269-111-220-110-28,269-623-1244-1646-1820
112,1458808,384,55,322,11,250,384,567,1346,1547,2042,384-55-322-11-250,384-567-1346-1547-2042
113,1476138,354,378,448,210,201,354,890,1472,1746,1993,354-378-448-210-201,354-890-1472-1746-1993
114,1498393,271,276,51,190,192,271,788,1075,1726,1984,271-276-51-190-192,271-788-1075-1726-1984
115,1498685,271,197,182,220,204,271,709,1206,1756,1996,271-197-182-220-204,271-709-1206-1756-1996
116,1499336,502,23,330,190,145,502,535,1354,1726,1937,502-23-330-190-145,502-535-1354-1726-1937
117,1499382,271,236,330,209,117,271,748,1354,1745,1909,271-236-330-209-117,271-748-1354-1745-1909
118,1506152,230,156,464,225,65,230,668,1488,1761,1857,230-156-464-225-65,230-668-1488-1761-1857
119,1524321,254,119,29,115,5,254,631,1053,1651,1797,254-119-29-115-5,254-631-1053-1651-1797
120,1540671,510,260,47,9,9,510,772,1071,1545,1801,510-260-47-9-9,510-772-1071-1545-1801
121,1566517,301,73,194,242,81,301,585,1218,1778,1873,301-73-194-242-81,301-585-1218-1778-1873
122,1566552,510,392,424,65,81,510,904,1448,1601,1873,510-392-424-65-81,510-904-1448-1601-1873
123,1573991,417,479,67,143,179,417,991,1091,1679,1971,417-479-67-143-179,417-991-1091-1679-1971
124,1579917,188,331,438,180,234,188,843,1462,1716,2026,188-331-438-180-234,188-843-1462-1716-2026
125,1582653,354,136,129,93,244,354,648,1153,1629,2036,354-136-129-93-244,354-648-1153-1629-2036
126,1582933,354,473,57,227,43,354,985,1081,1763,1835,354-473-57-227-43,354-985-1081-1763-1835
127,1583053,354,84,0,0,104,354,596,1024,1536,1896,354-84-0-0-104,354-596-1024-1536-1896
128,1607205,127,369,61,58,222,127,881,1085,1594,2014,127-369-61-58-222,127-881-1085-1594-2014
129,1628111,407,376,297,235,255,407,888,1321,1771,2047,407-376-297-235-255,407-888-1321-1771-2047
130,1645866,369,373,197,155,18,369,885,1221,1691,1810,369-373-197-155-18,369-885-1221-1691-1810
131,1661158,39,153,74,126,80,39,665,1098,1662,1872,39-153-74-126-80,39-665-1098-1662-1872
132,1688326,222,77,508,187,81,222,589,1532,1723,1873,222-77-508-187-81,222-589-1532-1723-1873
133,1694089,510,446,78,247,86,510,958,1102,1783,1878,510-446-78-247-86,510-958-1102-1783-1878
134,1694577,301,123,41,62,78,301,635,1065,1598,1870,301-123-41-62-78,301-635-1065-1598-1870
135,1702126,279,165,108,34,44,279,677,1132,1570,1836,279-165-108-34-44,279-677-1132-1570-1836
136,1702127,35,226,111,147,226,35,738,1135,1683,2018,35-226-111-147-226,35-738-1135-1683-2018
137,1702396,142,329,301,122,225,142,841,1325,1658,2017,142-329-301-122-225,142-841-1325-1658-2017
138,1716447,301,123,328,151,161,301,635,1352,1687,1953,301-123-328-151-161,301-635-1352-1687-1953
139,1718397,392,330,288,186,184,392,842,1312,1722,1976,392-330-288-186-184,392-842-1312-1722-1976
140,1737533,45,104,380,107,243,45,616,1404,1643,2035,45-104-380-107-243,45-616-1404-1643-2035
141,1742812,241,52,386,215,203,241,564,1410,1751,1995,241-52-386-215-203,241-564-1410-1751-1995
142,1752341,510,47,263,131,113,510,559,1287,1667,1905,510-47-263-131-113,510-559-1287-1667-1905
143,1755068,196,192,41,87,194,196,704,1065,1623,1986,196-192-41-87-194,196-704-1065-1623-1986
144,1755126,261,72,81,114,40,261,584,1105,1650,1832,261-72-81-114-40,261-584-1105-1650-1832
145,1769740,176,405,192,191,46,176,917,1216,1727,1838,176-405-192-191-46,176-917-1216-1727-1838
146,1778028,269,146,44,250,196,269,658,1068,1786,1988,269-146-44-250-196,269-658-1068-1786-1988
147,1778221,269,509,76,135,104,269,1021,1100,1671,1896,269-509-76-135-104,269-1021-1100-1671-1896
148,1778307,284,77,213,106,52,284,589,1237,1642,1844,284-77-213-106-52,284-589-1237-1642-1844
149,1778371,284,283,320,161,68,284,795,1344,1697,1860,284-283-320-161-68,284-795-1344-1697-1860
150,1778383,245,145,92,1,170,245,657,1116,1537,1962,245-145-92-1-170,245-657-1116-1537-1962
151,1786460,282,473,171,197,123,282,985,1195,1733,1915,282-473-171-197-123,282-985-1195-1733-1915
152,1827473,491,170,101,239,186,491,682,1125,1775,1978,491-170-101-239-186,491-682-1125-1775-1978
153,1830611,298,391,192,203,141,298,903,1216,1739,1933,298-391-192-203-141,298-903-1216-1739-1933
154,1879061,281,330,265,241,151,281,842,1289,1777,1943,281-330-265-241-151,281-842-1289-1777-1943
155,1907044,189,19,8,170,171,189,531,1032,1706,1963,189-19-8-170-171,189-531-1032-1706-1963
156,1907509,417,332,197,161,107,417,844,1221,1697,1899,417-332-197-161-107,417-844-1221-1697-1899
157,1907591,462,167,167,203,39,462,679,1191,1739,1831,462-167-167-203-39,462-679-1191-1739-1831
158,1907817,189,367,376,113,207,189,879,1400,1649,1999,189-367-376-113-207,189-879-1400-1649-1999
159,1908374,73,359,63,200,13,73,871,1087,1736,1805,73-359-63-200-13,73-871-1087-1736-1805
160,1911456,367,121,201,42,82,367,633,1225,1578,1874,367-121-201-42-82,367-633-1225-1578-1874
161,1912571,484,19,226,179,246,484,531,1250,1715,2038,484-19-226-179-246,484-531-1250-1715-2038
162,1934003,224,461,186,85,152,224,973,1210,1621,1944,224-461-186-85-152,224-973-1210-1621-1944
163,1941108,354,10,458,241,244,354,522,1482,1777,2036,354-10-458-241-244,354-522-1482-1777-2036
164,1941114,354,50,61,3,12,354,562,1085,1539,1804,354-50-61-3-12,354-562-1085-1539-1804
165,1941454,462,192,208,177,203,462,704,1232,1713,1995,462-192-208-177-203,462-704-1232-1713-1995
166,1941456,73,422,170,121,222,73,934,1194,1657,2014,73-422-170-121-222,73-934-1194-1657-2014
167,1941458,73,422,205,83,18,73,934,1229,1619,1810,73-422-205-83-18,73-934-1229-1619-1810
168,1947500,268,303,332,108,97,268,815,1356,1644,1889,268-303-332-108-97,268-815-1356-1644-1889
169,1951440,395,394,208,28,52,395,906,1232,1564,1844,395-394-208-28-52,395-906-1232-1564-1844
170,1952674,285,198,250,237,196,285,710,1274,1773,1988,285-198-250-237-196,285-710-1274-1773-1988
171,1972046,43,213,306,50,189,43,725,1330,1586,1981,43-213-306-50-189,43-725-1330-1586-1981
172,1977453,5,3,171,103,16,5,515,1195,1639,1808,5-3-171-103-16,5-515-1195-1639-1808
173,1998666,362,60,194,202,139,362,572,1218,1738,1931,362-60-194-202-139,362-572-1218-1738-1931
174,1998696,362,83,310,70,81,362,595,1334,1606,1873,362-83-310-70-81,362-595-1334-1606-1873
175,2005739,358,437,312,88,69,358,949,1336,1624,1861,358-437-312-88-69,358-949-1336-1624-1861
176,2005767,226,196,79,35,169,226,708,1103,1571,1961,226-196-79-35-169,226-708-1103-1571-1961
177,2005833,226,327,121,1,122,226,839,1145,1537,1914,226-327-121-1-122,226-839-1145-1537-1914
178,2005926,385,437,369,194,171,385,949,1393,1730,1963,385-437-369-194-171,385-949-1393-1730-1963
179,2005968,335,327,48,249,225,335,839,1072,1785,2017,335-327-48-249-225,335-839-1072-1785-2017
180,2018002,286,204,424,182,243,286,716,1448,1718,2035,286-204-424-182-243,286-716-1448-1718-2035
181,2022988,33,293,422,215,122,33,805,1446,1751,1914,33-293-422-215-122,33-805-1446-1751-1914
182,2052577,164,448,232,132,210,164,960,1256,1668,2002,164-448-232-132-210,164-960-1256-1668-2002
183,2060253,347,260,170,209,59,347,772,1194,1745,1851,347-260-170-209-59,347-772-1194-1745-1851
184,2060644,71,194,486,198,206,71,706,1510,1734,1998,71-194-486-198-206,71-706-1510-1734-1998
185,2065642,192,155,482,172,216,192,667,1506,1708,2008,192-155-482-172-216,192-667-1506-1708-2008
186,2072739,397,335,164,184,245,397,847,1188,1720,2037,397-335-164-184-245,397-847-1188-1720-2037
187,2073571,228,320,463,54,239,228,832,1487,1590,2031,228-320-463-54-239,228-832-1487-1590-2031
188,2085104,241,423,120,233,54,241,935,1144,1769,1846,241-423-120-233-54,241-935-1144-1769-1846
189,2099921,284,139,203,192,116,284,651,1227,1728,1908,284-139-203-192-116,284-651-1227-1728-1908
190,2100287,284,128,369,195,116,284,640,1393,1731,1908,284-128-369-195-116,284-640-1393-1731-1908
191,2109780,483,479,344,38,209,483,991,1368,1574,2001,483-479-344-38-209,483-991-1368-1574-2001
192,2109919,461,395,20,101,23,461,907,1044,1637,1815,461-395-20-101-23,461-907-1044-1637-1815
193,2115644,261,172,292,106,236,261,684,1316,1642,2028,261-172-292-106-236,261-684-1316-1642-2028
194,2117805,223,207,209,175,154,223,719,1233,1711,1946,223-207-209-175-154,223-719-1233-1711-1946
195,2119814,495,253,379,216,163,495,765,1403,1752,1955,495-253-379-216-163,495-765-1403-1752-1955
196,2119816,495,219,154,100,213,495,731,1178,1636,2005,495-219-154-100-213,495-731-1178-1636-2005
197,2119837,126,463,222,176,213,126,975,1246,1712,2005,126-463-222-176-213,126-975-1246-1712-2005
198,2119838,495,273,277,244,20,495,785,1301,1780,1812,495-273-277-244-20,495-785-1301-1780-1812
199,2119851,231,202,74,36,132,231,714,1098,1572,1924,231-202-74-36-132,231-714-1098-1572-1924
200,2120896,122,141,354,144,123,122,653,1378,1680,1915,122-141-354-144-123,122-653-1378-1680-1915
201,2121473,20,53,275,120,120,20,565,1299,1656,1912,20-53-275-120-120,20-565-1299-1656-1912
202,2132416,472,296,370,74,93,472,808,1394,1610,1885,472-296-370-74-93,472-808-1394-1610-1885
203,2132533,55,114,440,248,239,55,626,1464,1784,2031,55-114-440-248-239,55-626-1464-1784-2031
204,2133723,70,150,200,62,52,70,662,1224,1598,1844,70-150-200-62-52,70-662-1224-1598-1844
205,2133762,4,255,454,222,0,4,767,1478,1758,1792,4-255-454-222-0,4-767-1478-1758-1792
206,2134782,55,296,90,241,45,55,808,1114,1777,1837,55-296-90-241-45,55-808-1114-1777-1837
207,2137911,55,296,454,110,113,55,808,1478,1646,1905,55-296-454-110-113,55-808-1478-1646-1905
208,2138871,472,425,216,189,22,472,937,1240,1725,1814,472-425-216-189-22,472-937-1240-1725-1814
209,2150358,238,437,233,63,122,238,949,1257,1599,1914,238-437-233-63-122,238-949-1257-1599-1914
210,2150372,19,324,3,233,201,19,836,1027,1769,1993,19-324-3-233-201,19-836-1027-1769-1993
211,2150550,238,189,63,175,227,238,701,1087,1711,2019,238-189-63-175-227,238-701-1087-1711-2019
212,2157396,164,69,210,111,210,164,581,1234,1647,2002,164-69-210-111-210,164-581-1234-1647-2002
213,2158562,213,54,34,198,177,213,566,1058,1734,1969,213-54-34-198-177,213-566-1058-1734-1969
214,2166096,384,492,305,22,43,384,1004,1329,1558,1835,384-492-305-22-43,384-1004-1329-1558-1835
215,2184770,329,188,271,211,128,329,700,1295,1747,1920,329-188-271-211-128,329-700-1295-1747-1920
216,2197531,329,374,13,216,108,329,886,1037,1752,1900,329-374-13-216-108,329-886-1037-1752-1900
217,2197533,231,113,110,211,169,231,625,1134,1747,1961,231-113-110-211-169,231-625-1134-1747-1961
218,2197535,329,506,96,248,135,329,1018,1120,1784,1927,329-506-96-248-135,329-1018-1120-1784-1927
219,2197537,329,506,96,248,123,329,1018,1120,1784,1915,329-506-96-248-123,329-1018-1120-1784-1915
220,2197540,329,288,141,220,246,329,800,1165,1756,2038,329-288-141-220-246,329-800-1165-1756-2038
221,2197541,359,438,75,167,47,359,950,1099,1703,1839,359-438-75-167-47,359-950-1099-1703-1839
222,2197572,82,302,227,73,165,82,814,1251,1609,1957,82-302-227-73-165,82-814-1251-1609-1957
223,2264115,152,151,377,53,158,152,663,1401,1589,1950,152-151-377-53-158,152-663-1401-1589-1950
224,2264194,152,151,497,210,24,152,663,1521,1746,1816,152-151-497-210-24,152-663-1521-1746-1816
225,2264512,152,92,321,112,38,152,604,1345,1648,1830,152-92-321-112-38,152-604-1345-1648-1830
226,2264684,152,59,474,94,128,152,571,1498,1630,1920,152-59-474-94-128,152-571-1498-1630-1920
227,2286178,391,454,170,243,70,391,966,1194,1779,1862,391-454-170-243-70,391-966-1194-1779-1862
228,2290638,152,184,313,134,158,152,696,1337,1670,1950,152-184-313-134-158,152-696-1337-1670-1950
229,2291085,152,282,297,166,86,152,794,1321,1702,1878,152-282-297-166-86,152-794-1321-1702-1878
230,2291643,152,151,70,114,165,152,663,1094,1650,1957,152-151-70-114-165,152-663-1094-1650-1957
231,2292151,145,242,501,187,197,145,754,1525,1723,1989,145-242-501-187-197,145-754-1525-1723-1989
232,2292453,13,144,49,171,227,13,656,1073,1707,2019,13-144-49-171-227,13-656-1073-1707-2019
233,2292606,13,430,99,185,194,13,942,1123,1721,1986,13-430-99-185-194,13-942-1123-1721-1986
234,2297312,128,504,154,161,150,128,1016,1178,1697,1942,128-504-154-161-150,128-1016-1178-1697-1942
235,2306638,276,381,110,35,218,276,893,1134,1571,2010,276-381-110-35-218,276-893-1134-1571-2010
236,2306875,391,385,350,195,46,391,897,1374,1731,1838,391-385-350-195-46,391-897-1374-1731-1838
237,2306894,391,491,8,232,93,391,1003,1032,1768,1885,391-491-8-232-93,391-1003-1032-1768-1885
238,2306932,391,491,8,234,173,391,1003,1032,1770,1965,391-491-8-234-173,391-1003-1032-1770-1965
239,2331653,167,118,127,182,8,167,630,1151,1718,1800,167-118-127-182-8,167-630-1151-1718-1800
240,2332858,152,406,365,124,218,152,918,1389,1660,2010,152-406-365-124-218,152-918-1389-1660-2010
241,2333177,152,297,365,114,210,152,809,1389,1650,2002,152-297-365-114-210,152-809-1389-1650-2002
242,2345883,442,76,327,155,177,442,588,1351,1691,1969,442-76-327-155-177,442-588-1351-1691-1969
243,2345887,442,362,245,211,32,442,874,1269,1747,1824,442-362-245-211-32,442-874-1269-1747-1824
244,2346693,97,83,288,234,121,97,595,1312,1770,1913,97-83-288-234-121,97-595-1312-1770-1913
245,2346694,97,55,40,124,15,97,567,1064,1660,1807,97-55-40-124-15,97-567-1064-1660-1807
246,2346791,443,208,334,144,150,443,720,1358,1680,1942,443-208-334-144-150,443-720-1358-1680-1942
247,2346849,500,374,156,117,87,500,886,1180,1653,1879,500-374-156-117-87,500-886-1180-1653-1879
248,2379316,354,123,61,45,176,354,635,1085,1581,1968,354-123-61-45-176,354-635-1085-1581-1968
249,2403488,290,135,265,192,223,290,647,1289,1728,2015,290-135-265-192-223,290-647-1289-1728-2015
250,2419300,71,19,169,59,187,71,531,1193,1595,1979,71-19-169-59-187,71-531-1193-1595-1979
251,2419869,241,98,386,253,9,241,610,1410,1789,1801,241-98-386-253-9,241-610-1410-1789-1801
252,2427328,354,382,504,2,182,354,894,1528,1538,1974,354-382-504-2-182,354-894-1528-1538-1974
253,2433674,123,482,489,226,72,123,994,1513,1762,1864,123-482-489-226-72,123-994-1513-1762-1864
254,2434242,334,134,36,85,252,334,646,1060,1621,2044,334-134-36-85-252,334-646-1060-1621-2044
255,2434325,0,417,314,209,20,0,929,1338,1745,1812,0-417-314-209-20,0-929-1338-1745-1812
256,2438368,354,14,241,98,188,354,526,1265,1634,1980,354-14-241-98-188,354-526-1265-1634-1980
257,2449564,354,291,414,108,198,354,803,1438,1644,1990,354-291-414-108-198,354-803-1438-1644-1990
258,2468972,97,236,328,118,78,97,748,1352,1654,1870,97-236-328-118-78,97-748-1352-1654-1870
259,2485154,309,50,105,77,195,309,562,1129,1613,1987,309-50-105-77-195,309-562-1129-1613-1987
260,2497579,364,308,466,182,130,364,820,1490,1718,1922,364-308-466-182-130,364-820-1490-1718-1922
261,2507382,364,308,466,129,176,364,820,1490,1665,1968,364-308-466-129-176,364-820-1490-1665-1968
262,2515686,489,292,257,0,161,489,804,1281,1536,1953,489-292-257-0-161,489-804-1281-1536-1953
263,2522930,452,414,90,44,29,452,926,1114,1580,1821,452-414-90-44-29,452-926-1114-1580-1821
264,2523296,43,296,145,90,112,43,808,1169,1626,1904,43-296-145-90-112,43-808-1169-1626-1904
265,2523456,43,296,199,127,11,43,808,1223,1663,1803,43-296-199-127-11,43-808-1223-1663-1803
266,2524000,384,150,288,213,234,384,662,1312,1749,2026,384-150-288-213-234,384-662-1312-1749-2026
